noise,env,model,n_train,n_seeds,one_step_mse_mean,valid_steps_mean,energy_max_drift_mean,divergence_rate_mean,one_step_mse_std,valid_steps_std,energy_max_drift_std,divergence_rate_std
clean,Acrobot,Hamiltonian_NN,250,5,0.08274610787630081,21.08,28.69300159454346,0.0,0.00132592597842258,0.7332121111929352,23.12007716394531,0.0
clean,Acrobot,Hamiltonian_NN,1000,5,0.04588261172175408,6.839999999999999,437.27531696319573,0.0,0.0022439557615536888,0.19595917942265442,75.26474643920159,0.0
clean,Acrobot,Hamiltonian_NN,4000,5,0.016140183061361314,10.679999999999998,963.4954541015625,0.2,0.00048201246373161824,0.8818163074019439,35.32752898492078,0.1264911064067352
clean,Acrobot,Lagrangian_GP,250,5,0.018799778074026108,32.879999999999995,61.43456428527833,0.0,0.004671352965873566,9.122806585694997,60.05364396592668,0.0
clean,Acrobot,Lagrangian_GP,1000,5,0.002926181349903345,81.44000000000001,8.045782775878905,0.0,0.0005278762252949172,16.92118199181133,1.290852796378645,0.0
clean,Acrobot,Lagrangian_GP,4000,5,0.001453018421307206,52.879999999999995,5.655341234207153,0.0,0.00030208823396614664,19.882695994255908,1.0772174114827697,0.0
clean,Acrobot,Lagrangian_NN,250,5,0.02699940651655197,15.6,27.74265926361084,0.0,0.006218883489692776,2.6832815729997477,6.382581698982838,0.0
clean,Acrobot,Lagrangian_NN,1000,5,0.008540428802371025,14.64,15.436404037475587,0.0,0.0013040085016121485,0.8708616422830894,1.9489074839789133,0.0
clean,Acrobot,Lagrangian_NN,4000,5,0.0013850234099663794,27.32,7.726296339035033,0.0,0.0005888204745054984,2.5222212432695112,2.865238945225744,0.0
clean,Acrobot,Polynomial,250,5,0.0506201833486557,13.16,669.7787952804566,0.64,0.0032302416304054865,3.549422488236643,235.0689298869199,0.23323807579381203
clean,Acrobot,Polynomial,1000,5,0.04364550560712814,14.48,575.1750307464599,0.4,0.0019679438198561133,2.8102668912400475,121.50388725958652,0.12649110640673517
clean,Acrobot,Polynomial,4000,5,0.04205275401473045,13.160000000000002,671.8810804748534,0.36,0.000795879959840413,0.38781438859330664,89.83882434551815,0.23323807579381203
clean,Acrobot,Structured_HNN,250,5,0.0269991509616375,15.6,27.742368640899656,0.0,0.006218585136716672,2.6832815729997477,6.3825295597898615,0.0
